tweet_id,created_at,username,platform,tweet_text,likes,retweets,country,date,hour,weekday,tweet_text_raw
t001,2026-08-01 08:00:00,alice,Web,"Loved the new dashboard! It is fast, clear, and super helpful 😊",0.0,0.0,United States,2026-08-01,8,Saturday,"Loved the new dashboard! It is fast, clear, and super helpful 😊"
t002,2026-08-02 00:00:00,bob_22,Web,The update is terrible... app crashed twice. https://example.com/help,37.0,11.0,United States,2026-08-02,0,Sunday,The update is terrible... app crashed twice. https://example.com/help
t003,2026-08-03 00:00:00,carol,Web,Trying the new feature today. Not sure what I think yet.,74.0,22.0,United Kingdom,2026-08-03,0,Monday,Trying the new feature today. Not sure what I think yet.
t004,2026-08-04 12:10:00,david,Mobile,Great work @team!!! Version 2.0 feels much smoother #update,111.0,33.0,Canada,2026-08-04,12,Tuesday,Great work @team!!! Version 2.0 feels much smoother #update
t005,2026-08-05 12:28:00,emma,Mobile,Why is login still broken??? This is so frustrating 😡,148.0,44.0,United States,2026-08-05,12,Wednesday,Why is login still broken??? This is so frustrating 😡
t006,2026-08-06 00:00:00,frank,Mobile,Downloaded it. Will test later.,185.0,55.0,United Kingdom,2026-08-06,0,Thursday,Downloaded it. Will test later.
t007,2026-08-07 00:00:00,grace,iOS,"Amazing service, thank you!!!",222.0,66.0,Canada,2026-08-07,0,Friday,"Amazing service, thank you!!!"
t008,2026-08-08 12:10:00,henry,iOS,Support never replied to my email. disappointed.,259.0,7.0,United States,2026-08-08,12,Saturday,Support never replied to my email. disappointed.
t009,2026-08-09 16:56:00,ivy,Android,New interface launched today #design,296.0,18.0,United States,2026-08-09,16,Sunday,New interface launched today #design
t010,2026-08-10 00:00:00,jack,Android,The search works sooo much better now!!! 10/10,333.0,29.0,United Kingdom,2026-08-10,0,Monday,The search works sooo much better now!!! 10/10
t011,2026-08-11 00:00:00,alice,Web,Really enjoying the cleaner layout and quicker loading time! #product,370.0,40.0,United States,2026-08-11,0,Tuesday,Really enjoying the cleaner layout and quicker loading time! #product
