tweet_id,tweet_text_raw,text_clean,top_tfidf_terms
t001,"Loved the new dashboard! It is fast, clear, and super helpful 😊",loved new dashboard fast clear super helpful,new (1.00)
t002,The update is terrible... app crashed twice. https://example.com/help,update terrible app crashed twice URL,"app (0.43), crashed (0.43), terrible (0.43)"
t003,Trying the new feature today. Not sure what I think yet.,trying new feature today sure think yet,"sure (0.41), trying (0.41), think (0.41)"
t004,Great work @team!!! Version 2.0 feels much smoother #update,great work USER version NUMBER feel much smoother update,"great (0.38), smoother (0.38), feel (0.33)"
t005,Why is login still broken??? This is so frustrating 😡,login still broken frustrating,"broken (0.50), frustrating (0.50), login (0.50)"
t006,Downloaded it. Will test later.,downloaded test later,"downloaded (0.58), later (0.58), test (0.58)"
t007,"Amazing service, thank you!!!",amazing service thank,"amazing (0.58), service (0.58), thank (0.58)"
t008,Support never replied to my email. disappointed.,support never replied email disappointed,"disappointed (0.46), email (0.46), never (0.46)"
t009,New interface launched today #design,new interface launched today design,"design (0.49), interface (0.49), launched (0.49)"
t010,The search works sooo much better now!!! 10/10,search work sooo much better NUMBER NUMBER,"number (0.56), better (0.40), sooo (0.40)"
t011,Really enjoying the cleaner layout and quicker loading time! #product,really enjoying cleaner layout quicker loading time product,"cleaner (0.36), enjoying (0.36), layout (0.36)"
t012,"Not happy with the latest change, it takes forever to open.",happy latest change take forever open,"change (0.41), forever (0.41), happy (0.41)"
t013,Just installed the update and exploring the settings.,installed update exploring setting,"exploring (0.53), installed (0.53), setting (0.53)"
t014,Customer support was fantastic today. Thanks @support!,customer support fantastic today thanks USER,"customer (0.45), fantastic (0.45), thanks (0.45)"
t015,Battery drain is awful after version 3.1 😞,battery drain awful version NUMBER,"awful (0.49), battery (0.49), drain (0.49)"
t016,The feature is okay; I need more time to use it.,feature okay need time use,"need (0.47), use (0.47), okay (0.47)"
t017,Wow!!! The recommendations are surprisingly good.,wow recommendation surprisingly good,"good (0.50), recommendation (0.50), surprisingly (0.50)"
t018,Cannot upload my file... error 500 again!!!,upload file error NUMBER,"error (0.53), file (0.53), upload (0.53)"
t019,Checking out the release notes at https://example.org/release,checking release note URL,"checking (0.52), note (0.52), release (0.52)"
t020,Love how simple this feels now ❤️,love simple feel,"love (0.60), simple (0.60), feel (0.52)"
t021,Notifications are way too frequent and annoying.,notification way frequent annoying,"annoying (0.50), frequent (0.50), notification (0.50)"
t023,The new chart is beautiful and easy to understand.,new chart beautiful easy understand,"beautiful (0.47), chart (0.47), easy (0.47)"
t024,Search results look worse than before :(,search result look worse,search (1.00)
t025,Testing on my phone during lunch #testing,testing phone lunch testing,
t027,The update is terrible... app crashed twice. https://example.com/help,update terrible app crashed twice URL,"app (0.43), crashed (0.43), terrible (0.43)"
t028,Trying the new feature today. Not sure what I think yet.,trying new feature today sure think yet,"sure (0.41), trying (0.41), think (0.41)"
t029,Great work @team!!! Version 2.0 feels much smoother #update,great work USER version NUMBER feel much smoother update,"great (0.38), smoother (0.38), feel (0.33)"
t030,Why is login still broken??? This is so frustrating 😡,login still broken frustrating,"broken (0.50), frustrating (0.50), login (0.50)"
t031,Downloaded it. Will test later.,downloaded test later,"downloaded (0.58), later (0.58), test (0.58)"
t032,"Amazing service, thank you!!!",amazing service thank,"amazing (0.58), service (0.58), thank (0.58)"
t033,Support never replied to my email. disappointed.,support never replied email disappointed,"disappointed (0.46), email (0.46), never (0.46)"
t034,New interface launched today #design,new interface launched today design,"design (0.49), interface (0.49), launched (0.49)"
t035,The search works sooo much better now!!! 10/10,search work sooo much better NUMBER NUMBER,"number (0.56), better (0.40), sooo (0.40)"
t036,Really enjoying the cleaner layout and quicker loading time! #product,really enjoying cleaner layout quicker loading time product,"cleaner (0.36), enjoying (0.36), layout (0.36)"
t037,"Not happy with the latest change, it takes forever to open.",happy latest change take forever open,"change (0.41), forever (0.41), happy (0.41)"
t038,Just installed the update and exploring the settings.,installed update exploring setting,"exploring (0.53), installed (0.53), setting (0.53)"
t039,Customer support was fantastic today. Thanks @support!,customer support fantastic today thanks USER,"customer (0.45), fantastic (0.45), thanks (0.45)"
t040,Battery drain is awful after version 3.1 😞,battery drain awful version NUMBER,"awful (0.49), battery (0.49), drain (0.49)"
t041,The feature is okay; I need more time to use it.,feature okay need time use,"need (0.47), use (0.47), okay (0.47)"
t042,Wow!!! The recommendations are surprisingly good.,wow recommendation surprisingly good,"good (0.50), recommendation (0.50), surprisingly (0.50)"
t043,Cannot upload my file... error 500 again!!!,upload file error NUMBER,"error (0.53), file (0.53), upload (0.53)"
t044,Checking out the release notes at https://example.org/release,checking release note URL,"checking (0.52), note (0.52), release (0.52)"
t045,Love how simple this feels now ❤️,love simple feel,"love (0.60), simple (0.60), feel (0.52)"
t046,Notifications are way too frequent and annoying.,notification way frequent annoying,"annoying (0.50), frequent (0.50), notification (0.50)"
t047,Nothing major changed for me today.,nothing major changed today,today (1.00)
t048,The new chart is beautiful and easy to understand.,new chart beautiful easy understand,"beautiful (0.47), chart (0.47), easy (0.47)"
